Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
1,Justin Abdelkader,27,DET,LW,71,23,21,44,3,72,15,8,0,5,15,6,0,154,14.9,1272,17:55
2,Will Acton,27,EDM,C,3,0,0,0,-2,5,0,0,0,0,0,0,0,2,0.0,32,10:43
3,Luke Adam,24,CBJ,C,3,0,0,0,0,4,0,0,0,0,0,0,0,0,,19,6:27
4,Craig Adams,37,PIT,RW,70,1,6,7,-1,44,1,0,0,1,5,0,1,51,2.0,682,9:45
5,Andrew Agozzino,24,COL,LW,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,10,9:45
6,Jason Akeson,24,PHI,RW,13,0,0,0,-1,8,0,0,0,0,0,0,0,9,0.0,105,8:03
7,Bryan Allen,34,TOT,D,11,0,2,2,-2,6,0,0,0,0,2,0,0,6,0.0,173,15:43
8,Conor Allen,25,NYR,D,4,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,49,12:12
9,Mark Alt,23,PHI,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,9:25
10,Karl Alzner,26,WSH,D,82,5,16,21,14,20,5,0,0,0,16,0,0,72,6.9,1593,19:26
11,Josh Anderson,20,CBJ,RW,6,0,1,1,-1,2,0,0,0,0,1,0,0,10,0.0,81,13:27
12,Joakim Andersson,25,DET,C,68,3,5,8,-4,22,3,0,0,1,5,0,0,74,4.1,791,11:38
13,Andy Andreoff,23,LAK,C,18,2,1,3,1,18,2,0,0,1,1,0,0,14,14.3,154,8:34
14,Sven Andrighetto,21,MTL,RW,12,2,1,3,0,0,2,0,0,0,1,0,0,12,16.7,113,9:25
15,Mike Angelidis,29,TBL,LW,3,0,0,0,0,12,0,0,0,0,0,0,0,0,,22,7:21
16,Artem Anisimov,26,CBJ,C,52,7,20,27,-6,8,7,0,0,2,13,4,3,88,8.0,852,16:23
17,Mark Arcobello,26,TOT,C,77,17,14,31,-10,20,16,1,0,2,10,3,1,129,13.2,1140,14:48
18,Joel Armia,21,BUF,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,14:47
19,Viktor Arvidsson,21,NSH,LW,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,62,10:15
20,Carter Ashton,23,TOR,RW,7,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,44,6:13
21,Cam Atkinson,25,CBJ,RW,78,22,18,40,-2,22,14,7,1,7,15,3,0,212,10.4,1325,16:59
